Purpose,SKUName,ArmSkuName_Full,OS,PriceType,ReservationTerm,RetailPrice,CurrencyCode,UnitOfMeasure,Location,Cores,MemoryGB,NetworkMbps,PremiumIO_Supported,MeterName,EffectiveStartDate,ProductId
General Purpose (D/F Series),FX32mds v2,Standard_FX32mds_v2,Windows,Consumption,None,7.82,USD,1 Hour,koreacentral,32,672.0,N/A,True,FX32mds v2,2025-01-01T00:00:00Z,DZH318Z0H7DN
General Purpose (D/F Series),D4s v4,Standard_D4s_v4,Windows,Consumption,None,0.42,USD,1 Hour,koreacentral,4,16.0,N/A,True,D4s v4,2021-11-01T00:00:00Z,DZH318Z0CP07
General Purpose (D/F Series),D96ds v6,Standard_D96ds_v6,Windows,Consumption,None,11.767,USD,1 Hour,koreacentral,96,384.0,N/A,True,D96ds v6,2024-10-01T00:00:00Z,DZH318Z0GNHZ
General Purpose (D/F Series),D4lds v5,Standard_D4lds_v5,Windows,Consumption,None,0.404,USD,1 Hour,koreacentral,4,8.0,N/A,True,D4lds v5,2023-04-01T00:00:00Z,DZH318Z08M99
HPC (H Series),HB176-144rsv4,Standard_HB176-144rs_v4,Windows,Consumption,None,17.816,USD,1 Hour,koreacentral,176,768.0,N/A,True,HB176-144rsv4,2023-06-01T00:00:00Z,DZH318Z0K1LH
HPC (H Series),HB176-48rsv4,Standard_HB176-48rs_v4,Linux,Consumption,None,9.72,USD,1 Hour,koreacentral,176,768.0,N/A,True,HB176-48rsv4,2023-06-01T00:00:00Z,DZH318Z0K1N4
HPC (H Series),HB176-48rsv4,Standard_HB176-48rs_v4,Linux,Reservation,1 Year,63862.0,USD,1 Hour,koreacentral,176,768.0,N/A,True,HB176-48rsv4,2023-06-01T00:00:00Z,DZH318Z0K1N4
General Purpose (D/F Series),D4 v3,Standard_D4_v3,Windows,Consumption,None,0.43,USD,1 Hour,koreacentral,4,16.0,N/A,False,D4 v3/D4s v3,2017-07-21T00:00:00Z,DZH318Z0BPVL
HPC (H Series),HC44-32rs,Standard_HC44-32rs,Linux,Consumption,None,4.277,USD,1 Hour,koreacentral,32,352.0,N/A,True,HC44-32rs,2021-03-01T00:00:00Z,DZH318Z0BXNX
HPC (H Series),HC44-32rs,Standard_HC44-32rs,Linux,Reservation,1 Year,31845.0,USD,1 Hour,koreacentral,32,352.0,N/A,True,HC44-32rs,2021-03-01T00:00:00Z,DZH318Z0BXNX
General Purpose (D/F Series),F2s,Standard_F2s,Linux,Consumption,None,0.102,USD,1 Hour,koreacentral,2,4.0,N/A,True,F2s,2018-06-01T00:00:00Z,DZH318Z0BQ4P
General Purpose (D/F Series),F2s,Standard_F2s,Linux,Reservation,1 Year,689.0,USD,1 Hour,koreacentral,2,4.0,N/A,True,F2s,2017-07-17T00:00:00Z,DZH318Z0BQ4P
General Purpose (D/F Series),FX32ms v2,Standard_FX32ms_v2,Linux,Consumption,None,5.136,USD,1 Hour,koreacentral,32,672.0,N/A,True,FX32ms v2,2025-01-01T00:00:00Z,DZH318Z0H7F3
General Purpose (D/F Series),FX32ms v2,Standard_FX32ms_v2,Linux,Reservation,1 Year,25646.0,USD,1 Hour,koreacentral,32,672.0,N/A,True,FX32ms v2,2025-01-01T00:00:00Z,DZH318Z0H7F3
General Purpose (D/F Series),F48s v2,Standard_F48s_v2,Windows,Consumption,None,4.512,USD,1 Hour,koreacentral,48,96.0,N/A,True,F48s v2,2021-11-01T00:00:00Z,DZH318Z0BPWJ
HPC (H Series),HX176rs,Standard_HX176rs,Windows,Consumption,None,19.76,USD,1 Hour,koreacentral,176,1408.0,N/A,True,HX176rs,2023-06-01T00:00:00Z,DZH318Z0K1LG
General Purpose (D/F Series),FX24ms v2,Standard_FX24ms_v2,Linux,Consumption,None,3.852,USD,1 Hour,koreacentral,24,504.0,N/A,True,FX24ms v2,2025-01-01T00:00:00Z,DZH318Z0H7F3
General Purpose (D/F Series),FX24ms v2,Standard_FX24ms_v2,Linux,Reservation,1 Year,19235.0,USD,1 Hour,koreacentral,24,504.0,N/A,True,FX24ms v2,2025-01-01T00:00:00Z,DZH318Z0H7F3
