armRegionName,serviceFamily,serviceName,skuName,armSkuName,retailPrice,priceType,reservationTerm,unitOfMeasure,currencyCode
koreacentral,Compute,Virtual Machines,D16ls v5 Spot,Standard_D16ls_v5,0.109978,,,1 Hour,USD
koreacentral,Compute,Cloud Services,F32s v2 Low Priority,,1.132,,,1 Hour,USD
koreacentral,Compute,Cloud Services,F32s v2 Low Priority,,0.272,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4ls v5 Spot,Standard_D4ls_v5,0.053843,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4ls v5 Spot,Standard_D4ls_v5,0.027494,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D16s v6 Spot,Standard_D16s_v6,0.141911,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX32mds v2,Standard_FX32mds_v2,7.82,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX32mds v2,Standard_FX32mds_v2,6.348,,,1 Hour,USD
koreacentral,Compute,Cloud Services,E4 v3,Standard_E4_v3,0.504,,,1 Hour,USD
koreacentral,Compute,Cloud Services,E4 v3,Standard_E4_v3,0.32,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D16ls v5 Spot,Standard_D16ls_v5,0.215373,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D16ls v5 Spot,Standard_D16ls_v5,0.109978,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX8-2ms v2 Spot,Standard_FX8-2ms_v2,0.26432,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX8-2ms v2 Spot,Standard_FX8-2ms_v2,0.20544,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64s v3 Spot,Standard_D64s_v3,0.563635,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4s v4,Standard_D4s_v4,0.42,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4s v4,Standard_D4s_v4,0.236,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D96ds v6,Standard_D96ds_v6,11.767,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D96ds v6,Standard_D96ds_v6,7.351,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,HX176-24rs Low Priority,Standard_HX176-24rs,2.333,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4 v4 Low Priority,Standard_D4_v4,0.168,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4 v4 Low Priority,Standard_D4_v4,0.0472,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4lds v5,Standard_D4lds_v5,0.404,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4lds v5,Standard_D4lds_v5,0.22,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,HB176-144rsv4,Standard_HB176-144rs_v4,17.816,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,HB176-144rsv4,Standard_HB176-144rs_v4,9.72,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,HB176-48rsv4,Standard_HB176-48rs_v4,9.72,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,HB176-48rsv4,Standard_HB176-48rs_v4,63862.0,,1 Year,1 Hour,USD
koreacentral,Compute,Virtual Machines,HB176-48rsv4,Standard_HB176-48rs_v4,127724.0,,3 Years,1 Hour,USD
koreacentral,Compute,Virtual Machines,HB176-48rsv4,Standard_HB176-48rs_v4,141901.0,,5 Years,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX64ms v2 Spot,Standard_FX64ms_v2,1.64352,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,HB176-24rsv4 Spot,Standard_HB176-24rs_v4,1.49688,,,1 Hour,USD
koreacentral,Compute,Azure App Service,I13,I13,2.84,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D2a v4 Low Priority,Standard_D2a_v4,0.084,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D2a v4 Low Priority,Standard_D2a_v4,0.0236,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,NC6s v3 Low Priority,Standard_NC6s_v3,1.804,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,NC6s v3 Low Priority,Standard_NC6s_v3,0.847,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4 v3,Standard_D4_v3,0.43,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4 v3,Standard_D4_v3,0.246,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F4s Spot,Standard_F4s,0.029213,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F72s v2 Spot,Standard_F72s_v2,0.494899,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64als v6 Low Priority,Standard_D64als_v6,0.634,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D32ads v6 Spot,Standard_D32ads_v6,0.53299,,,1 Hour,USD
