currencyCode,retailPrice,location,skuName,OS,type,reservationTerm
USD,7.82,koreacentral,FX32mds v2,Windows,Consumption,
USD,6.348,koreacentral,FX32mds v2,Windows,DevTestConsumption,
USD,0.42,koreacentral,D4s v4,Windows,Consumption,
USD,0.236,koreacentral,D4s v4,Windows,DevTestConsumption,
USD,11.767,koreacentral,D96ds v6,Windows,Consumption,
USD,7.351,koreacentral,D96ds v6,Windows,DevTestConsumption,
USD,0.404,koreacentral,D4lds v5,Windows,Consumption,
USD,0.22,koreacentral,D4lds v5,Windows,DevTestConsumption,
USD,17.816,koreacentral,HB176-144rsv4,Windows,Consumption,
USD,9.72,koreacentral,HB176-144rsv4,Windows,DevTestConsumption,
USD,9.72,koreacentral,HB176-48rsv4,Linux,Consumption,
USD,63862.0,koreacentral,HB176-48rsv4,Linux,Reservation,1 Year
USD,127724.0,koreacentral,HB176-48rsv4,Linux,Reservation,3 Years
USD,141901.0,koreacentral,HB176-48rsv4,Linux,Reservation,5 Years
USD,0.43,koreacentral,D4 v3,Windows,Consumption,
USD,0.246,koreacentral,D4 v3,Windows,DevTestConsumption,
USD,4.277,koreacentral,HC44-32rs,Linux,Consumption,
USD,31845.0,koreacentral,HC44-32rs,Linux,Reservation,1 Year
USD,78676.0,koreacentral,HC44-32rs,Linux,Reservation,3 Years
USD,0.102,koreacentral,F2s,Linux,Consumption,
USD,689.0,koreacentral,F2s,Linux,Reservation,1 Year
USD,1494.0,koreacentral,F2s,Linux,Reservation,3 Years
USD,5.136,koreacentral,FX32ms v2,Linux,Consumption,
USD,25646.0,koreacentral,FX32ms v2,Linux,Reservation,1 Year
USD,36444.0,koreacentral,FX32ms v2,Linux,Reservation,3 Years
USD,4.512,koreacentral,F48s v2,Windows,Consumption,
USD,2.304,koreacentral,F48s v2,Windows,DevTestConsumption,
USD,19.76,koreacentral,HX176rs,Windows,Consumption,
USD,11.664,koreacentral,HX176rs,Windows,DevTestConsumption,
USD,3.852,koreacentral,FX24ms v2,Linux,Consumption,
USD,19235.0,koreacentral,FX24ms v2,Linux,Reservation,1 Year
USD,27333.0,koreacentral,FX24ms v2,Linux,Reservation,3 Years
USD,10.051,koreacentral,D96alds v6,Windows,Consumption,
USD,5.635,koreacentral,D96alds v6,Windows,DevTestConsumption,
USD,6.72,koreacentral,D64 v4,Windows,Consumption,
USD,3.776,koreacentral,D64 v4,Windows,DevTestConsumption,
USD,2.568,koreacentral,FX16ms v2,Linux,Consumption,
USD,12823.0,koreacentral,FX16ms v2,Linux,Reservation,1 Year
USD,18222.0,koreacentral,FX16ms v2,Linux,Reservation,3 Years
USD,0.472,koreacentral,D8a v4,Linux,Consumption,
USD,2398.0,koreacentral,D8a v4,Linux,Reservation,1 Year
USD,4664.0,koreacentral,D8a v4,Linux,Reservation,3 Years
USD,2.217,koreacentral,NC16asT4 v3,Windows,Consumption,
USD,1.481,koreacentral,NC16asT4 v3,Windows,DevTestConsumption,
USD,0.674,koreacentral,F8as v6,Linux,Consumption,
USD,3658.0,koreacentral,F8as v6,Linux,Reservation,1 Year
USD,6904.0,koreacentral,F8as v6,Linux,Reservation,3 Years
USD,2.832,koreacentral,D48s v4,Linux,Consumption,
USD,14422.0,koreacentral,D48s v4,Linux,Reservation,1 Year
USD,27984.0,koreacentral,D48s v4,Linux,Reservation,3 Years
USD,23.533,koreacentral,D192ds_v6,Windows,Consumption,
USD,14.701,koreacentral,D192ds_v6,Windows,DevTestConsumption,
USD,1.968,koreacentral,D32-8s v3,Linux,Consumption,
USD,4.761,koreacentral,FX24mds v2,Linux,Consumption,
USD,23773.0,koreacentral,FX24mds v2,Linux,Reservation,1 Year
USD,33782.0,koreacentral,FX24mds v2,Linux,Reservation,3 Years
USD,0.42,koreacentral,D4 v4,Windows,Consumption,
USD,0.236,koreacentral,D4 v4,Windows,DevTestConsumption,
USD,0.236,koreacentral,D4 v4,Linux,Consumption,
