currencyCode,retailPrice,location,skuName,OS,type,reservationTerm
USD,0.42,koreacentral,D4s v4,Windows,Consumption,
USD,0.236,koreacentral,D4s v4,Windows,DevTestConsumption,
USD,11.767,koreacentral,D96ds v6,Windows,Consumption,
USD,7.351,koreacentral,D96ds v6,Windows,DevTestConsumption,
USD,0.404,koreacentral,D4lds v5,Windows,Consumption,
USD,0.22,koreacentral,D4lds v5,Windows,DevTestConsumption,
USD,0.43,koreacentral,D4 v3,Windows,Consumption,
USD,0.246,koreacentral,D4 v3,Windows,DevTestConsumption,
USD,10.051,koreacentral,D96alds v6,Windows,Consumption,
USD,5.635,koreacentral,D96alds v6,Windows,DevTestConsumption,
USD,6.72,koreacentral,D64 v4,Windows,Consumption,
USD,3.776,koreacentral,D64 v4,Windows,DevTestConsumption,
USD,0.472,koreacentral,D8a v4,Linux,Consumption,
USD,2398.0,koreacentral,D8a v4,Linux,Reservation,1 Year
USD,4664.0,koreacentral,D8a v4,Linux,Reservation,3 Years
USD,2.832,koreacentral,D48s v4,Linux,Consumption,
USD,14422.0,koreacentral,D48s v4,Linux,Reservation,1 Year
USD,27984.0,koreacentral,D48s v4,Linux,Reservation,3 Years
USD,23.533,koreacentral,D192ds_v6,Windows,Consumption,
USD,14.701,koreacentral,D192ds_v6,Windows,DevTestConsumption,
USD,1.968,koreacentral,D32-8s v3,Linux,Consumption,
USD,0.42,koreacentral,D4 v4,Windows,Consumption,
USD,0.236,koreacentral,D4 v4,Windows,DevTestConsumption,
USD,0.236,koreacentral,D4 v4,Linux,Consumption,
USD,1202.0,koreacentral,D4 v4,Linux,Reservation,1 Year
USD,2332.0,koreacentral,D4 v4,Linux,Reservation,3 Years
USD,0.472,koreacentral,D8as v4,Linux,Consumption,
USD,2398.0,koreacentral,D8as v4,Linux,Reservation,1 Year
USD,4664.0,koreacentral,D8as v4,Linux,Reservation,3 Years
USD,5.582,koreacentral,D48ads v6,Windows,Consumption,
USD,3.374,koreacentral,D48ads v6,Windows,DevTestConsumption,
USD,3.226,koreacentral,D64ls v6,Linux,Consumption,
USD,17519.0,koreacentral,D64ls v6,Linux,Reservation,1 Year
USD,33060.0,koreacentral,D64ls v6,Linux,Reservation,3 Years
USD,4.891,koreacentral,D48as v6,Windows,Consumption,
USD,2.683,koreacentral,D48as v6,Windows,DevTestConsumption,
USD,2.832,koreacentral,D48 v4,Linux,Consumption,
USD,14422.0,koreacentral,D48 v4,Linux,Reservation,1 Year
USD,27984.0,koreacentral,D48 v4,Linux,Reservation,3 Years
USD,13.818,koreacentral,D128s v6,Windows,Consumption,
USD,7.93,koreacentral,D128s v6,Windows,DevTestConsumption,
USD,3.44,koreacentral,D32s v3,Windows,Consumption,
USD,1.968,koreacentral,D32s v3,Windows,DevTestConsumption,
USD,0.278,koreacentral,D4ds v4,Linux,Consumption,
USD,1418.0,koreacentral,D4ds v4,Linux,Reservation,1 Year
USD,2747.0,koreacentral,D4ds v4,Linux,Reservation,3 Years
USD,2.818,koreacentral,D48alds v6,Linux,Consumption,
USD,14562.0,koreacentral,D48alds v6,Linux,Reservation,1 Year
USD,28138.0,koreacentral,D48alds v6,Linux,Reservation,3 Years
USD,3.35,koreacentral,D32alds v6,Windows,Consumption,
USD,1.878,koreacentral,D32alds v6,Windows,DevTestConsumption,
USD,0.496,koreacentral,D8s v6,Linux,Consumption,
USD,2692.0,koreacentral,D8s v6,Linux,Reservation,1 Year
USD,5080.0,koreacentral,D8s v6,Linux,Reservation,3 Years
USD,0.562,koreacentral,D8ads v6,Linux,Consumption,
USD,2907.0,koreacentral,D8ads v6,Linux,Reservation,1 Year
USD,5616.0,koreacentral,D8ads v6,Linux,Reservation,3 Years
USD,3.776,koreacentral,D64a v4,Linux,Consumption,
USD,19186.0,koreacentral,D64a v4,Linux,Reservation,1 Year
USD,37312.0,koreacentral,D64a v4,Linux,Reservation,3 Years
USD,0.153,koreacentral,D2ds v6,Linux,Consumption,
USD,832.0,koreacentral,D2ds v6,Linux,Reservation,1 Year
USD,1570.0,koreacentral,D2ds v6,Linux,Reservation,3 Years
USD,0.125,koreacentral,D2lds v6,Linux,Consumption,
USD,677.0,koreacentral,D2lds v6,Linux,Reservation,1 Year
USD,1277.0,koreacentral,D2lds v6,Linux,Reservation,3 Years
USD,4.9,koreacentral,D64ds v6,Linux,Consumption,
USD,26615.0,koreacentral,D64ds v6,Linux,Reservation,1 Year
USD,50226.0,koreacentral,D64ds v6,Linux,Reservation,3 Years
USD,0.118,koreacentral,D2a v4,Linux,Consumption,
USD,600.0,koreacentral,D2a v4,Linux,Reservation,1 Year
USD,1166.0,koreacentral,D2a v4,Linux,Reservation,3 Years
USD,0.198,koreacentral,D4als v6,Linux,Consumption,
USD,1023.0,koreacentral,D4als v6,Linux,Reservation,1 Year
USD,1977.0,koreacentral,D4als v6,Linux,Reservation,3 Years
USD,0.86,koreacentral,D8 v3,Windows,Consumption,
USD,0.492,koreacentral,D8 v3,Windows,DevTestConsumption,
USD,0.419,koreacentral,D4alds v6,Windows,Consumption,
USD,0.235,koreacentral,D4alds v6,Windows,DevTestConsumption,
