currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,reservationTerm
USD,0.0,34.492,34.492,koreacentral,KR Central,2021-07-01T00:00:00Z,00295405-7ae3-5cd4-a38e-650382d85c9b,E50 LRS Disk Mount,DZH318Z0BP88,DZH318Z0BP88/00D2,Standard SSD Managed Disks,E50 LRS,Storage,DZH317F1HKN0,Storage,1/Month,Consumption,True,,
USD,0.0,0.013,0.013,koreacentral,KR Central,2020-03-01T00:00:00Z,4ce8dd2a-30cb-4ca6-8172-965d4d2ee561,Cool Read Operations,DZH318Z0C120,DZH318Z0C120/0084,General Block Blob v2 Hierarchical Namespace,Cool GRS,Storage,DZH317F1HKN0,Storage,10K,Consumption,False,,
USD,0.0,0.002,0.002,koreacentral,KR Central,2023-05-01T00:00:00Z,ce957933-8287-4f8b-83ee-53a5cbe056d9,E60 ZRS Disk Operations,DZH318Z0BP88,DZH318Z0BP88/01ZK,Standard SSD Managed Disks,E60 ZRS,Storage,DZH317F1HKN0,Storage,10K,Consumption,False,,
USD,0.0,0.27,0.27,koreacentral,KR Central,2023-01-01T00:00:00Z,005d1695-4f0a-5293-a8aa-96f0a6aea55b,Cool GZRS Write Operations,DZH318Z0BPH7,DZH318Z0BPH7/00TR,General Block Blob v2,Cool GZRS,Storage,DZH317F1HKN0,Storage,10K,Consumption,True,,
USD,0.0,0.0625,0.0625,koreacentral,KR Central,2019-04-01T00:00:00Z,00df84e9-b561-4374-a98c-5fec15da673f,Hot ZRS Write Operations,DZH318Z0BJRN,DZH318Z0BJRN/0096,Azure Data Lake Storage Gen2 Flat Namespace,Hot ZRS,Storage,DZH317F1HKN0,Storage,10K,Consumption,True,,
USD,0.0,0.00036,0.00036,koreacentral,KR Central,2016-04-11T00:00:00Z,6417d428-fe3b-4270-951d-5a67e6411a8f,List Operations,DZH318Z0BNZF,DZH318Z0BNZF/0008,Standard Page Blob,Standard RA-GRS,Storage,DZH317F1HKN0,Storage,10K,Consumption,False,,
USD,0.0,0.00246,0.00246,koreacentral,KR Central,2020-08-15T00:00:00Z,01a07107-2f67-47ac-93a9-f716768ac38a,Premium LRS All Other Operations,DZH318Z0CPS6,DZH318Z0CPS6/0028,Premium ADLS Gen2 Hierarchical Namespace,Premium LRS,Storage,DZH317F1HKN0,Storage,10K,Consumption,True,,
USD,0.0,33.178,33.178,koreacentral,KR Central,2024-09-01T00:00:00Z,01a503bf-5bcb-537c-a4a4-f21364eae0be,ZRS Burst Enablement,DZH318Z0BP04,DZH318Z0BP04/026T,Premium SSD Managed Disks,Burst Enablement ZRS,Storage,DZH317F1HKN0,Storage,1/Month,Consumption,True,,
USD,0.0,0.0715,0.0715,koreacentral,KR Central,2019-04-01T00:00:00Z,01bc3514-ff88-4d6f-8f32-7d29bdbd2ae3,Hot RA-GRS Index,DZH318Z0BJRM,DZH318Z0BJRM/0080,Azure Data Lake Storage Gen2 Hierarchical Namespace,Hot RA-GRS,Storage,DZH317F1HKN0,Storage,1 GB/Month,Consumption,True,,
USD,0.0,1.35,1.35,koreacentral,KR Central,2020-10-01T00:00:00Z,01deab6e-d0d4-4d86-bd3d-2164950ee477,Blob Changes,DZH318Z0C1WP,DZH318Z0C1WP/0014,Change Feed,Blob,Storage,DZH317F1HKN0,Storage,1M,Consumption,True,,
USD,0.0,473117.0,473117.0,koreacentral,KR Central,2019-11-01T00:00:00Z,7611c2bd-b242-4b19-a45a-91838332adf4,Archive - 10 PB RA-GRS Data Stored,DZH318Z0CLSK,DZH318Z0CLSK/01P3,Storage Reserved Capacity,Archive - 10 PB RA-GRS,Storage,DZH317F1HKN0,Storage,1 GB/Month,Reservation,False,Archive_RA-GRS_Data_Stored_10 Pb,1 Year
USD,0.0,1312901.0,1312901.0,koreacentral,KR Central,2019-11-01T00:00:00Z,7611c2bd-b242-4b19-a45a-91838332adf4,Archive - 10 PB RA-GRS Data Stored,DZH318Z0CLSK,DZH318Z0CLSK/01P4,Storage Reserved Capacity,Archive - 10 PB RA-GRS,Storage,DZH317F1HKN0,Storage,1 GB/Month,Reservation,False,Archive_RA-GRS_Data_Stored_10 Pb,3 Years
USD,0.0,0.0,0.0,koreacentral,KR Central,2025-04-01T00:00:00Z,322c85bb-d7b0-410f-84f8-05a53bc699ae,Delete Operations,DZH318Z0BJRM,DZH318Z0BJRM/0151,Azure Data Lake Storage Gen2 Hierarchical Namespace,Hot RA-GZRS,Storage,DZH317F1HKN0,Storage,10K,Consumption,False,,
USD,0.0,0.0782,0.0782,koreacentral,KR Central,2021-02-01T00:00:00Z,3e2e5cf7-112e-4de4-aecd-8266bd783230,GRS Index Tags,DZH318Z0BPH7,DZH318Z0BPH7/00CW,General Block Blob v2,Archive RA-GRS,Storage,DZH317F1HKN0,Storage,10K/Month,Consumption,False,,
USD,0.0,0.022,0.022,koreacentral,KR Central,2018-03-01T00:00:00Z,1bcc8347-c246-42d3-b043-e73abd9e1d52,Archive Data Retrieval,DZH318Z0BPH7,DZH318Z0BPH7/00CP,General Block Blob v2,Archive LRS,Storage,DZH317F1HKN0,Storage,1 GB,Consumption,False,,
USD,0.0,0.143,0.143,koreacentral,KR Central,2021-10-01T00:00:00Z,033b5e78-9696-5954-9b61-d7ffbfe6b1d9,Cross Region Replication - KR Central to KR South Days,DZH318Z0BXV9,DZH318Z0BXV9/00XZ,Azure NetApp Files,Cross Region Replication - KR Central to KR South,Azure NetApp Files,DZH3147RZ57L,Storage,1 GiB/Hour,Consumption,True,,
USD,0.0,0.13,0.13,koreacentral,KR Central,2019-04-01T00:00:00Z,03d2632a-8385-411f-b54c-1ce5e663d0cb,Cool ZRS Write Operations,DZH318Z0BJRM,DZH318Z0BJRM/008P,Azure Data Lake Storage Gen2 Hierarchical Namespace,Cool ZRS,Storage,DZH317F1HKN0,Storage,10K,Consumption,True,,
USD,0.0,0.1,0.1,koreacentral,KR Central,2023-05-01T00:00:00Z,040d82e0-0665-56a1-bfad-7239c25e4b62,Cold ZRS Read Operations,DZH318Z0BJRN,DZH318Z0BJRN/01P6,Azure Data Lake Storage Gen2 Flat Namespace,Cold ZRS,Storage,DZH317F1HKN0,Storage,10K,Consumption,True,Cold,
USD,0.0,0.0047,0.0047,koreacentral,KR Central,2019-08-01T00:00:00Z,8f9b1f51-e789-4421-b49b-d6ed4d7e0f7f,Archive GRS Data Stored,DZH318Z0BPH7,DZH318Z0BPH7/00CJ,General Block Blob v2,Archive GRS,Storage,DZH317F1HKN0,Storage,1 GB/Month,Consumption,False,,
USD,0.0,0.00036,0.00036,koreacentral,KR Central,2017-11-01T00:00:00Z,b90587a9-b1d5-4bd7-9d0b-e5d4a255a384,LRS Class 1 Operations,DZH318Z0BNZ3,DZH318Z0BNZ3/0028,Queues,Standard LRS,Storage,DZH317F1HKN0,Storage,10K,Consumption,False,,
USD,0.0,0.0119,0.0119,koreacentral,KR Central,2023-05-01T00:00:00Z,047216ac-8e8c-5d85-b4e8-bc393193ef33,Cold RA-GZRS Data Stored,DZH318Z0BJRN,DZH318Z0BJRN/01P2,Azure Data Lake Storage Gen2 Flat Namespace,Cold RA-GZRS,Storage,DZH317F1HKN0,Storage,1 GB/Month,Consumption,True,Cold,
