currencyCode,retailPrice,location,skuName,OS,type,reservationTerm,meterName,unitOfMeasure,effectiveStartDate,serviceId,productId,armSkuName,tierMinimumUnits,leaseId
USD,3.904,koreacentral,E32-16s v5,Windows,Consumption,,E32-16s v5,1 Hour,2021-11-01T00:00:00Z,DZH313Z7MMC8,DZH318Z096T1,Standard_E32-16s_v5,0.0,
USD,1.088,koreacentral,E16as v5,Linux,Consumption,,E16as v5,1 Hour,2021-11-01T00:00:00Z,DZH313Z7MMC8,DZH318Z093WZ,Standard_E16as_v5,0.0,
USD,5623.0,koreacentral,E16as v5,Linux,Reservation,1 Year,E16as v5,1 Hour,2025-04-01T00:00:00Z,DZH313Z7MMC8,DZH318Z093WZ,Standard_E16as_v5,0.0,
USD,10865.0,koreacentral,E16as v5,Linux,Reservation,3 Years,E16as v5,1 Hour,2021-11-01T00:00:00Z,DZH313Z7MMC8,DZH318Z093WZ,Standard_E16as_v5,0.0,
USD,25.228,koreacentral,M128,Windows,Consumption,,M128,1 Hour,2021-02-01T00:00:00Z,DZH313Z7MMC8,DZH318Z0BPW5,Standard_M128,0.0,
USD,1.06,koreacentral,E8-4ds v5,Windows,Consumption,,E8-4ds v5,1 Hour,2021-11-01T00:00:00Z,DZH313Z7MMC8,DZH318Z096SL,Standard_E8-4ds_v5,0.0,
USD,138.116,koreacentral,M416-104ms_v2,Windows,Consumption,,M416-104ms_v2,1 Hour,2020-11-01T00:00:00Z,DZH313Z7MMC8,DZH318Z0BX63,Standard_M416-104ms_v2,0.0,
USD,6.499,koreacentral,E48ads v6,Windows,Consumption,,E48ads v6,1 Hour,2024-09-01T00:00:00Z,DZH313Z7MMC8,DZH318Z0F5DZ,Standard_E48ads_v6,0.0,
USD,4.656,koreacentral,Standard_E32bds_v5,Windows,Consumption,,E32bds v5,1 Hour,2022-05-01T00:00:00Z,DZH313Z7MMC8,DZH318Z09LQN,Standard_E32bds_v5,0.0,
USD,26.772,koreacentral,M208s v2,Linux,Consumption,,M208s v2,1 Hour,2020-10-01T00:00:00Z,DZH313Z7MMC8,DZH318Z0BX5L,Standard_M208s_v2,0.0,
USD,136396.0,koreacentral,M208s v2,Linux,Reservation,1 Year,M208s v2,1 Hour,2020-10-01T00:00:00Z,DZH313Z7MMC8,DZH318Z0BX5L,Standard_M208s_v2,0.0,
USD,197539.0,koreacentral,M208s v2,Linux,Reservation,3 Years,M208s v2,1 Hour,2020-10-01T00:00:00Z,DZH313Z7MMC8,DZH318Z0BX5L,Standard_M208s_v2,0.0,
USD,0.818,koreacentral,L8s v4,Linux,Consumption,,L8s v4,1 Hour,2025-04-01T00:00:00Z,DZH313Z7MMC8,DZH318Z0M2S2,Standard_L8s_v4,0.0,
USD,4371.0,koreacentral,L8s v4,Linux,Reservation,1 Year,L8s v4,1 Hour,2025-04-01T00:00:00Z,DZH313Z7MMC8,DZH318Z0M2S2,Standard_L8s_v4,0.0,
USD,8599.0,koreacentral,L8s v4,Linux,Reservation,3 Years,L8s v4,1 Hour,2025-04-01T00:00:00Z,DZH313Z7MMC8,DZH318Z0M2S2,Standard_L8s_v4,0.0,
USD,7.82,koreacentral,FX32mds v2,Windows,Consumption,,FX32mds v2,1 Hour,2025-01-01T00:00:00Z,DZH313Z7MMC8,DZH318Z0H7DN,Standard_FX32mds_v2,0.0,
USD,0.608,koreacentral,E8s v5,Linux,Consumption,,E8s v5,1 Hour,2021-11-01T00:00:00Z,DZH313Z7MMC8,DZH318Z096SR,Standard_E8s_v5,0.0,
USD,3142.0,koreacentral,E8s v5,Linux,Reservation,1 Year,E8s v5,1 Hour,2025-04-01T00:00:00Z,DZH313Z7MMC8,DZH318Z096SR,Standard_E8s_v5,0.0,
USD,5912.0,koreacentral,E8s v5,Linux,Reservation,3 Years,E8s v5,1 Hour,2024-06-01T00:00:00Z,DZH313Z7MMC8,DZH318Z096SR,Standard_E8s_v5,0.0,
USD,1.06,koreacentral,E8ds v4,Windows,Consumption,,E8ds v4,1 Hour,2021-11-01T00:00:00Z,DZH313Z7MMC8,DZH318Z0CSHB,Standard_E8ds_v4,0.0,
USD,2.016,koreacentral,E16s v3,Windows,Consumption,,E16s v3,1 Hour,2017-04-01T00:00:00Z,DZH313Z7MMC8,DZH318Z0BPVN,Standard_E16s_v3,0.0,
USD,0.42,koreacentral,D4s v4,Windows,Consumption,,D4s v4,1 Hour,2021-11-01T00:00:00Z,DZH313Z7MMC8,DZH318Z0CP07,Standard_D4s_v4,0.0,
USD,7.116,koreacentral,Standard_L48s_v3,Windows,Consumption,,L48s v3,1 Hour,2022-09-01T00:00:00Z,DZH313Z7MMC8,DZH318Z08NRP,Standard_L48s_v3,0.0,
USD,25.928377,koreacentral,Standard_M176s_3_v3,Linux,Consumption,,Standard_M176s_3_v3,1 Hour,2024-12-01T00:00:00Z,DZH313Z7MMC8,DZH318Z0K7B2,Standard_M176s_3_v3,0.0,
USD,132100.0,koreacentral,Standard_M176s_3_v3,Linux,Reservation,1 Year,Standard_M176s_3_v3,1 Hour,2024-12-01T00:00:00Z,DZH313Z7MMC8,DZH318Z0K7B2,Standard_M176s_3_v3,0.0,
USD,191336.0,koreacentral,Standard_M176s_3_v3,Linux,Reservation,3 Years,Standard_M176s_3_v3,1 Hour,2024-12-01T00:00:00Z,DZH313Z7MMC8,DZH318Z0K7B2,Standard_M176s_3_v3,0.0,
